X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
-47,088627	-3,596411	-2,82747	-47,12627	-3,581889	-2,869288	-47,123039	-3,580636	-2,864999	-47,106068	-3,593704	-2,861762	-47,056576	-3,669015	-2,722294
-47,083153	-3,636152	-2,775227	-47,123981	-3,624153	-2,803926	-47,119892	-3,621609	-2,807485	-47,107368	-3,594614	-2,85386	-47,059093	-3,670801	-2,711811
-47,074726	-3,69811	-2,682171	-47,114773	-3,684075	-2,726914	-47,11145	-3,68146	-2,726274	-47,106396	-3,594828	-2,860789	-47,057491	-3,66907	-2,722845
-47,061703	-3,771009	-2,560599	-47,104767	-3,757622	-2,600435	-47,102337	-3,76019	-2,576182	-47,108772	-3,595694	-2,851661	-47,060429	-3,671229	-2,710703
-47,04158	-3,847183	-2,419919	-47,084042	-3,830719	-2,476241	-47,084312	-3,849226	-2,386792	-47,108364	-3,595675	-2,86037	-47,059071	-3,669225	-2,723794
-47,012512	-3,921758	-2,266434	-47,059505	-3,910948	-2,292924	-47,06105	-3,946446	-2,148323	-47,110443	-3,596208	-2,852324	-47,060909	-3,670611	-2,713579
-46,973682	-3,992091	-2,10397	-47,022312	-3,988683	-2,108599	-47,023483	-4,043876	-1,879792	-47,110134	-3,595812	-2,860525	-47,05888	-3,668702	-2,72418
-46,925507	-4,061697	-1,907395	-46,979877	-4,067137	-1,890704	-47,021503	-4,166516	-1,668974	-47,111561	-3,595359	-2,85815	-47,060379	-3,669998	-2,715452
-46,910728	-4,154495	-1,770919	-46,953102	-4,153291	-1,728567	-47,053429	-4,294903	-1,526434	-47,109623	-3,594994	-2,862018	-47,058544	-3,668192	-2,725394
-46,918442	-4,245862	-1,672882	-46,96397	-4,258188	-1,620874	-47,10828	-4,411655	-1,377567	-47,110336	-3,594954	-2,856905	-47,060062	-3,66942	-2,716913
-46,928139	-4,317009	-1,593053	-46,982349	-4,341657	-1,526365	-47,161705	-4,500813	-1,238534	-47,108631	-3,594207	-2,862849	-47,058083	-3,667856	-2,72664
-46,94249	-4,371385	-1,525685	-47,014164	-4,412827	-1,432654	-47,154312	-4,555857	-1,160983	-47,109383	-3,593834	-2,858522	-47,059673	-3,669585	-2,716214
-46,962357	-4,412442	-1,465309	-47,057613	-4,472334	-1,323508	-47,152424	-4,605394	-1,109793	-47,106972	-3,593646	-2,863585	-47,057617	-3,668165	-2,726668
-46,998367	-4,452715	-1,391252	-47,12183	-4,531129	-1,210561	-47,150387	-4,646938	-1,066973	-47,107605	-3,594026	-2,856742	-47,059761	-3,670002	-2,715874
-47,045158	-4,489266	-1,311586	-47,143055	-4,562611	-1,15605	-47,146404	-4,681212	-1,034343	-47,105862	-3,593646	-2,86311	-47,057636	-3,668205	-2,727175
-47,100437	-4,521057	-1,229595	-47,143299	-4,581309	-1,13035	-47,14518	-4,711042	-1,002977	-47,107697	-3,594265	-2,856446	-47,059097	-3,669991	-2,716512
-47,137741	-4,541018	-1,173085	-47,142105	-4,600254	-1,107367	-47,139191	-4,73555	-0,982282	-47,10585	-3,594294	-2,863055	-47,05719	-3,668168	-2,727618
-47,13908	-4,54671	-1,157805	-47,140694	-4,617526	-1,086769	-47,14006	-4,758658	-0,9557	-47,108368	-3,595628	-2,851968	-47,057949	-3,669544	-2,718219
-47,139683	-4,550672	-1,145949	-47,138786	-4,632758	-1,068718	-47,141956	-4,786008	-0,924455	-47,107784	-3,595143	-2,861084	-47,056065	-3,668138	-2,727387
-47,13974	-4,558774	-1,13141	-47,139149	-4,643946	-1,052315	-47,149231	-4,806674	-0,894522	-47,10894	-3,594945	-2,856648	-47,057323	-3,669642	-2,718393
-47,140697	-4,568114	-1,115287	-47,140934	-4,675381	-1,017094	-47,150734	-4,845093	-0,856399	-47,107826	-3,59466	-2,862146	-47,05542	-3,668215	-2,727948
-47,140633	-4,577675	-1,100618	-47,145039	-4,690665	-0,994554	-47,158997	-4,870262	-0,82283	-47,108761	-3,594507	-2,856961	-47,056793	-3,66961	-2,719149
-47,141628	-4,586493	-1,085903	-47,15329	-4,71376	-0,960717	-47,162186	-4,91278	-0,781603	-47,107689	-3,594501	-2,862081	-47,054493	-3,668213	-2,728662
-47,141006	-4,594425	-1,074148	-47,154781	-4,723678	-0,946727	-47,16824	-4,937212	-0,752592	-47,109135	-3,594729	-2,854922	-47,056622	-3,670527	-2,716935
-47,143303	-4,601405	-1,060466	-47,158451	-4,752966	-0,913891	-47,174004	-4,981164	-0,708075	-47,108635	-3,594575	-2,862114	-47,054722	-3,668993	-2,7284
-47,139694	-4,608097	-1,053841	-47,157295	-4,766325	-0,901095	-47,177685	-5,004535	-0,684282	-47,110432	-3,594823	-2,85578	-47,057419	-3,671019	-2,716845
-47,154922	-4,623913	-1,020059	-47,164249	-4,788796	-0,871656	-47,181286	-5,051188	-0,642469	-47,109741	-3,594783	-2,862306	-47,049423	-3,708724	-2,675183
-47,159729	-4,654891	-0,98244	-47,162613	-4,798833	-0,863036	-47,181641	-5,073545	-0,623691	-47,111938	-3,594898	-2,858031	-47,042961	-3,775002	-2,549106
-47,150352	-4,668377	-0,978222	-47,168335	-4,819156	-0,837717	-47,186607	-5,107108	-0,590319	-47,110256	-3,594632	-2,863478	-47,028709	-3,856423	-2,382002
-47,163773	-4,683011	-0,949774	-47,165691	-4,830064	-0,830283	-47,185253	-5,124841	-0,57784	-47,112328	-3,595233	-2,855236	-47,012951	-3,961019	-2,104947
-47,155445	-4,694599	-0,946455	-47,170448	-4,850203	-0,806869	-47,19136	-5,168625	-0,537535	-47,111313	-3,594562	-2,86317	-47,02124	-4,10372	-1,760476
-47,168934	-4,708899	-0,918846	-47,16769	-4,858648	-0,802186	-47,189739	-5,186059	-0,525586	-47,113956	-3,594698	-2,85593	-47,127388	-4,329582	-1,457978
-47,160324	-4,720465	-0,916961	-47,170387	-4,869046	-0,789395	-47,193768	-5,203169	-0,507126	-47,112644	-3,594014	-2,863867	-47,188602	-4,522774	-1,239191
