X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
51,875908	-4,998791	-0,301208	51,835918	-5,017125	-0,270409	51,839081	-5,018932	-0,265287	51,857143	-5,014701	-0,294324	51,911201	-5,004833	-0,288458
51,88171	-5,030133	-0,257032	51,838047	-5,052679	-0,195371	51,842304	-5,051524	-0,205981	51,855473	-5,016671	-0,272713	51,90826	-5,008425	-0,26194
51,890957	-5,072116	-0,185332	51,848572	-5,08835	-0,155427	51,851849	-5,08939	-0,154934	51,856865	-5,014198	-0,294356	51,910271	-5,004657	-0,288214
51,90527	-5,11711	-0,100044	51,859451	-5,136352	-0,048863	51,862038	-5,139146	-0,030749	51,853981	-5,017056	-0,266633	51,906853	-5,008905	-0,257804
51,927055	-5,162632	-0,010131	51,882233	-5,176274	0,012574	51,882206	-5,193108	0,093303	51,854847	-5,014555	-0,291591	51,908611	-5,004788	-0,286149
51,958042	-5,207972	0,079508	51,908405	-5,22816	0,145489	51,907387	-5,256689	0,272518	51,852306	-5,017861	-0,267382	51,906403	-5,008525	-0,262094
51,998951	-5,252949	0,166699	51,948158	-5,275797	0,240351	51,947819	-5,323149	0,438203	51,853004	-5,015308	-0,28931	51,908798	-5,004914	-0,286667
52,049374	-5,30206	0,275053	51,992638	-5,332047	0,383101	51,951107	-5,385933	0,625336	51,851295	-5,016839	-0,277247	51,90694	-5,008117	-0,264307
52,065876	-5,341802	0,362256	52,02174	-5,374881	0,466104	51,919891	-5,438827	0,776163	51,853519	-5,01576	-0,29177	51,909119	-5,004471	-0,287329
52,059208	-5,376274	0,442623	52,011261	-5,417908	0,589901	51,863659	-5,502066	1,008916	51,852524	-5,017092	-0,276577	51,907314	-5,006875	-0,267837
52,049686	-5,412204	0,532727	51,99321	-5,457098	0,692406	51,80843	-5,566973	1,232167	51,854546	-5,014761	-0,29377	51,909641	-5,003234	-0,290456
52,034824	-5,450184	0,63211	51,960125	-5,506436	0,852612	51,815922	-5,661402	1,288283	51,853508	-5,015529	-0,279051	51,907722	-5,006218	-0,26744
52,013882	-5,490804	0,741549	51,915615	-5,558057	1,010985	51,818005	-5,725885	1,324767	51,856274	-5,013896	-0,29694	51,910168	-5,002528	-0,292398
51,97636	-5,536129	0,879767	51,848763	-5,6193	1,232023	51,819988	-5,787522	1,360426	51,855335	-5,015499	-0,279033	51,907585	-5,006481	-0,264973
51,927555	-5,586954	1,039145	51,826202	-5,688442	1,323334	51,823696	-5,840237	1,39554	51,857475	-5,012786	-0,299383	51,910145	-5,002544	-0,292697
51,869732	-5,642639	1,215004	51,825157	-5,754694	1,358933	51,824627	-5,893072	1,427697	51,855232	-5,014843	-0,277861	51,908295	-5,006859	-0,267748
51,830128	-5,70357	1,344306	51,825752	-5,806756	1,389867	51,829987	-5,941666	1,462312	51,857494	-5,012928	-0,299347	51,910576	-5,003029	-0,292894
51,82769	-5,764563	1,37663	51,826496	-5,856038	1,421062	51,828815	-5,987888	1,489511	51,854469	-5,01655	-0,270047	51,909519	-5,006605	-0,272699
51,826187	-5,81045	1,403162	51,827785	-5,899453	1,449534	51,826706	-6,038234	1,517761	51,855495	-5,013381	-0,294628	51,911747	-5,003129	-0,294678
51,825405	-5,851756	1,429157	51,826843	-5,939352	1,474093	51,819485	-6,077681	1,535694	51,853962	-5,015922	-0,277304	51,910149	-5,00633	-0,272701
51,823917	-5,888798	1,451756	51,825115	-5,984708	1,499874	51,818089	-6,127747	1,563475	51,855381	-5,014512	-0,293789	51,912411	-5,002749	-0,295663
51,823463	-5,922778	1,473704	51,820847	-6,019686	1,518618	51,810196	-6,160706	1,577492	51,854122	-5,016097	-0,277203	51,91074	-5,005466	-0,275457
51,822048	-5,953421	1,493037	51,812881	-6,055975	1,534053	51,807491	-6,20213	1,599325	51,855515	-5,01448	-0,293696	51,913403	-5,00208	-0,298623
51,822186	-5,981762	1,512498	51,811047	-6,084235	1,551643	51,801834	-6,227559	1,61129	51,853676	-5,01661	-0,272378	51,910912	-5,005249	-0,272665
51,819599	-6,006657	1,527585	51,807636	-6,120006	1,570766	51,796825	-6,26368	1,628349	51,854542	-5,01447	-0,29271	51,913212	-5,001516	-0,299319
51,822617	-6,030726	1,547147	51,808498	-6,145294	1,588571	51,793457	-6,285737	1,639519	51,85236	-5,016586	-0,272672	51,910061	-5,005288	-0,270204
51,808189	-6,050669	1,548022	51,801933	-6,172005	1,600042	51,790668	-6,316852	1,655213	51,853424	-5,014815	-0,292534	51,918797	-5,033403	-0,253443
51,803558	-6,093247	1,572491	51,803288	-6,191512	1,614838	51,790493	-6,336397	1,66775	51,850891	-5,01609	-0,276057	51,925594	-5,084162	-0,132596
51,812332	-6,115163	1,595178	51,797932	-6,213411	1,624507	51,786057	-6,365176	1,680649	51,852913	-5,014965	-0,293941	51,941521	-5,138134	-0,019947
51,799767	-6,127243	1,591942	51,800339	-6,230247	1,638173	51,78743	-6,382825	1,692434	51,850445	-5,016909	-0,27135	51,958836	-5,212389	0,207678
51,807556	-6,146157	1,611974	51,795918	-6,251157	1,647697	51,782299	-6,406791	1,700777	51,851833	-5,014408	-0,292482	51,952602	-5,296128	0,494501
51,794922	-6,157949	1,60789	51,798473	-6,26331	1,658206	51,784027	-6,419961	1,710339	51,848682	-5,016724	-0,267037	51,845482	-5,39205	0,902243
51,802986	-6,176471	1,627059	51,795845	-6,27818	1,665814	51,78014	-6,442775	1,719282	51,850395	-5,014651	-0,289543	51,783619	-5,508012	1,180934
51,792786	-6,186004	1,623392	51,798828	-6,288144	1,67491	51,782627	-6,454087	1,72747	51,848782	-5,017759	-0,267389	51,814999	-5,648888	1,24551
51,799263	-6,20057	1,638439	51,795822	-6,303965	1,68169	51,77916	-6,470827	1,73227	51,850216	-5,015021	-0,287955	51,814983	-5,757592	1,314157
51,791283	-6,20797	1,635039	51,798325	-6,308836	1,686923	51,781277	-6,476886	1,736816	51,848255	-5,01716	-0,26939	51,809422	-5,874463	1,367043
