X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
3,310994	-67,287292	62,535854	3,204613	-67,323387	62,497665	3,205334	-67,324661	62,501415	3,25442	-67,298233	62,518425	3,448735	-67,497261	62,425102
3,327707	-67,368736	62,538761	3,20559	-67,428146	62,503033	3,213323	-67,416252	62,505798	3,243523	-67,312714	62,520493	3,434664	-67,515472	62,428448
3,364069	-67,509796	62,532948	3,255667	-67,543549	62,494255	3,256689	-67,539146	62,498425	3,255799	-67,298248	62,519165	3,447419	-67,494698	62,427429
3,420381	-67,695206	62,510674	3,296873	-67,741524	62,474518	3,303383	-67,760452	62,479519	3,240043	-67,316643	62,521515	3,431308	-67,516304	62,430721
3,495411	-67,91523	62,467007	3,381871	-67,935257	62,429955	3,389323	-68,033493	62,434555	3,252616	-67,30043	62,519218	3,443857	-67,493965	62,428879
3,587273	-68,164063	62,39888	3,460311	-68,221642	62,366936	3,476383	-68,394951	62,360386	3,238238	-67,317032	62,52108	3,431553	-67,511253	62,431629
3,693966	-68,438637	62,304466	3,57802	-68,516182	62,271698	3,604646	-68,80275	62,245827	3,248856	-67,302345	62,518867	3,443697	-67,491943	62,430237
3,815512	-68,766441	62,183636	3,686947	-68,881653	62,148083	3,665036	-69,237152	62,093876	3,239819	-67,30896	62,520214	3,432142	-67,507561	62,432728
3,899415	-69,086128	62,035248	3,796106	-69,218613	61,989845	3,681495	-69,65448	61,901543	3,249173	-67,300949	62,518082	3,443603	-67,489296	62,43145
3,943102	-69,402649	61,862236	3,818818	-69,580284	61,807411	3,613866	-70,142021	61,676361	3,241031	-67,311653	62,518448	3,434206	-67,503044	62,433773
3,953036	-69,726799	61,665775	3,828132	-69,93763	61,596359	3,529473	-70,638756	61,412815	3,251072	-67,299835	62,516876	3,445847	-67,484894	62,432808
3,932504	-70,061096	61,447414	3,772933	-70,340843	61,36211	3,529301	-71,050659	61,117641	3,242814	-67,308456	62,518215	3,435313	-67,501549	62,435543
3,885599	-70,40863	61,208481	3,708761	-70,766792	61,101128	3,5355	-71,439011	60,801567	3,254519	-67,297684	62,516308	3,448199	-67,482056	62,434399
3,810203	-70,791771	60,951622	3,581275	-71,246292	60,816021	3,533607	-71,825455	60,473213	3,245916	-67,310181	62,517479	3,433919	-67,501511	62,437336
3,708988	-71,20327	60,67448	3,517249	-71,649292	60,503708	3,528735	-72,204086	60,135143	3,25826	-67,296097	62,5163	3,44804	-67,480331	62,435726
3,584944	-71,638885	60,375629	3,483769	-72,01577	60,176323	3,518996	-72,579613	59,791862	3,245819	-67,309425	62,518753	3,435707	-67,498611	62,43866
3,480642	-72,051071	60,057514	3,462685	-72,376343	59,839924	3,505136	-72,945282	59,446186	3,258603	-67,295944	62,516884	3,447966	-67,478737	62,43721
3,436234	-72,401917	59,725876	3,440881	-72,734077	59,499153	3,493116	-73,30368	59,101574	3,242791	-67,317024	62,518967	3,438812	-67,493515	62,439991
3,403034	-72,741508	59,388821	3,42225	-73,084961	59,154961	3,482232	-73,662674	58,759808	3,255147	-67,299957	62,516941	3,450302	-67,475967	62,439182
3,378266	-73,078613	59,051456	3,402236	-73,425308	58,811756	3,474023	-73,999641	58,423553	3,243813	-67,31015	62,519093	3,439544	-67,491302	62,441998
3,359306	-73,40831	58,716072	3,401707	-73,780342	58,472069	3,475455	-74,347977	58,095722	3,252799	-67,299324	62,517807	3,451493	-67,473068	62,441116
3,343014	-73,728607	58,385216	3,391128	-74,10672	58,136841	3,477925	-74,661438	57,778439	3,243322	-67,309677	62,519329	3,441886	-67,487114	62,443913
3,328895	-74,036865	58,06126	3,389496	-74,431534	57,808949	3,49145	-74,980362	57,474361	3,252836	-67,299332	62,517784	3,454284	-67,468613	62,443321
3,315344	-74,331711	57,746613	3,377559	-74,726944	57,491615	3,498806	-75,257927	57,185841	3,240963	-67,313736	62,519157	3,442407	-67,487312	62,446556
3,304156	-74,611145	57,443424	3,381947	-75,030495	57,187325	3,51863	-75,542351	56,914753	3,25128	-67,300331	62,517319	3,455526	-67,466354	62,445412
3,292201	-74,87542	57,153904	3,375905	-75,297775	56,897911	3,526749	-75,781235	56,6632	3,239362	-67,313416	62,51894	3,440331	-67,486832	62,448586
3,297516	-75,129677	56,880745	3,380446	-75,559128	56,624504	3,55276	-76,02639	56,432854	3,249847	-67,300911	62,517017	3,471209	-67,547836	62,449684
3,299554	-75,589081	56,386684	3,37539	-75,786606	56,370354	3,560937	-76,224403	56,224892	3,238948	-67,310997	62,518272	3,492521	-67,733803	62,446674
